Real-time data - subject to revision
Copyright Environment Canada(2023)

"Real-Time Hydrometric Data for NECHAKO RIVER AT ISLE PIERRE (08JC002) [BC]"

08JC002,"NECHAKO RIVER AT ISLE PIERRE"
Description of parameters:
5,"Water temperature (No Quality Assurance)",°C

Date (PST),Parameter ,Value(°C)
2022-08-01 00:00:00,5,22.31
2022-08-01 01:00:00,5,22.18
2022-08-01 02:00:00,5,22.05
2022-08-01 03:00:00,5,21.93
2022-08-01 04:00:00,5,21.81
2022-08-01 05:00:00,5,21.71
2022-08-01 06:00:00,5,21.63
2022-08-01 07:00:00,5,21.58
2022-08-01 08:00:00,5,21.56
2022-08-01 09:00:00,5,21.58
2022-08-01 10:00:00,5,21.67
2022-08-01 11:00:00,5,21.76
2022-08-01 12:00:00,5,21.9
2022-08-01 13:00:00,5,22.02
2022-08-01 14:00:00,5,22.16
2022-08-01 15:00:00,5,22.37
2022-08-01 16:00:00,5,22.5
2022-08-01 17:00:00,5,22.64
2022-08-01 18:00:00,5,22.74
2022-08-01 19:00:00,5,22.75
2022-08-01 20:00:00,5,22.7
2022-08-01 21:00:00,5,22.63
2022-08-01 22:00:00,5,22.54
2022-08-01 23:00:00,5,22.42
2022-08-02 00:00:00,5,22.26
2022-08-02 01:00:00,5,22.1
2022-08-02 02:00:00,5,21.95
2022-08-02 03:00:00,5,21.81
2022-08-02 04:00:00,5,21.68
2022-08-02 05:00:00,5,21.55
2022-08-02 06:00:00,5,21.44
2022-08-02 07:00:00,5,21.34
2022-08-02 08:00:00,5,21.28
2022-08-02 09:00:00,5,21.25
2022-08-02 10:00:00,5,21.26
2022-08-02 11:00:00,5,21.27
2022-08-02 12:00:00,5,21.32
2022-08-02 13:00:00,5,21.39
2022-08-02 14:00:00,5,21.45
2022-08-02 15:00:00,5,21.53
2022-08-02 16:00:00,5,21.61
2022-08-02 17:00:00,5,21.63
2022-08-02 18:00:00,5,21.63
2022-08-02 19:00:00,5,21.61
2022-08-02 20:00:00,5,21.53
2022-08-02 21:00:00,5,21.45
2022-08-02 22:00:00,5,21.37
2022-08-02 23:00:00,5,21.26
2022-08-03 00:00:00,5,21.15
2022-08-03 01:00:00,5,21.04
2022-08-03 02:00:00,5,20.92
2022-08-03 03:00:00,5,20.79
2022-08-03 04:00:00,5,20.66
2022-08-03 05:00:00,5,20.54
2022-08-03 06:00:00,5,20.42
2022-08-03 07:00:00,5,20.33
2022-08-03 08:00:00,5,20.25
2022-08-03 09:00:00,5,20.2
2022-08-03 10:00:00,5,20.17
2022-08-03 11:00:00,5,20.15
2022-08-03 12:00:00,5,20.13
2022-08-03 13:00:00,5,20.09
2022-08-03 14:00:00,5,20.08
2022-08-03 15:00:00,5,20.08
2022-08-03 16:00:00,5,20.06
2022-08-03 17:00:00,5,20.07
2022-08-03 18:00:00,5,20.05
2022-08-03 19:00:00,5,20.02
2022-08-03 20:00:00,5,19.95
2022-08-03 21:00:00,5,19.91
2022-08-03 22:00:00,5,19.86
2022-08-03 23:00:00,5,19.8
2022-08-04 00:00:00,5,19.71
2022-08-04 01:00:00,5,19.6
2022-08-04 02:00:00,5,19.48
2022-08-04 03:00:00,5,19.37
2022-08-04 04:00:00,5,19.25
2022-08-04 05:00:00,5,19.13
2022-08-04 06:00:00,5,19.02
2022-08-04 07:00:00,5,18.93
2022-08-04 08:00:00,5,18.85
2022-08-04 09:00:00,5,18.79
2022-08-04 10:00:00,5,18.79
2022-08-04 11:00:00,5,18.78
2022-08-04 12:00:00,5,18.78
2022-08-04 13:00:00,5,18.86
2022-08-04 14:00:00,5,18.87
2022-08-04 15:00:00,5,18.84
2022-08-04 16:00:00,5,18.88
2022-08-04 17:00:00,5,18.9
