Real-time data - subject to revision
Copyright Environment Canada(2023)

"Real-Time Hydrometric Data for STUART RIVER NEAR FORT ST. JAMES (08JE001) [BC]"

08JE001,"STUART RIVER NEAR FORT ST. JAMES"
Description of parameters:
5,"Water temperature (No Quality Assurance)",°C

Date (PST),Parameter ,Value(°C)
2022-09-01 00:00:00,5,19.45
2022-09-01 01:00:00,5,19.37
2022-09-01 02:00:00,5,19.23
2022-09-01 03:00:00,5,19.13
2022-09-01 04:00:00,5,18.94
2022-09-01 05:00:00,5,18.8
2022-09-01 06:00:00,5,18.63
2022-09-01 07:00:00,5,18.52
2022-09-01 08:00:00,5,18.54
2022-09-01 09:00:00,5,18.6
2022-09-01 10:00:00,5,18.76
2022-09-01 11:00:00,5,19.06
2022-09-01 12:00:00,5,19.37
2022-09-01 13:00:00,5,19.67
2022-09-01 14:00:00,5,20.05
2022-09-01 15:00:00,5,20.26
2022-09-01 16:00:00,5,20.44
2022-09-01 17:00:00,5,20.45
2022-09-01 18:00:00,5,20.42
2022-09-01 19:00:00,5,20.27
2022-09-01 20:00:00,5,20.08
2022-09-01 21:00:00,5,19.96
2022-09-01 22:00:00,5,19.85
2022-09-01 23:00:00,5,19.76
2022-09-02 00:00:00,5,19.64
2022-09-02 01:00:00,5,19.37
2022-09-02 02:00:00,5,19.09
2022-09-02 03:00:00,5,18.93
2022-09-02 04:00:00,5,18.8
2022-09-02 05:00:00,5,18.64
2022-09-02 06:00:00,5,18.49
2022-09-02 07:00:00,5,18.37
2022-09-02 08:00:00,5,18.3
2022-09-02 09:00:00,5,18.32
2022-09-02 10:00:00,5,18.44
2022-09-02 11:00:00,5,18.7
2022-09-02 12:00:00,5,19.07
2022-09-02 13:00:00,5,19.51
2022-09-02 14:00:00,5,19.83
2022-09-02 15:00:00,5,20.04
2022-09-02 16:00:00,5,20.19
2022-09-02 17:00:00,5,20.24
2022-09-02 18:00:00,5,20.23
2022-09-02 19:00:00,5,20.29
2022-09-02 20:00:00,5,20.29
2022-09-02 21:00:00,5,20.25
2022-09-02 22:00:00,5,20.23
2022-09-02 23:00:00,5,20.17
2022-09-03 00:00:00,5,20.05
2022-09-03 01:00:00,5,19.73
2022-09-03 02:00:00,5,19.37
2022-09-03 03:00:00,5,19.04
2022-09-03 04:00:00,5,18.91
2022-09-03 05:00:00,5,18.78
2022-09-03 06:00:00,5,18.69
2022-09-03 07:00:00,5,18.63
2022-09-03 08:00:00,5,18.58
2022-09-03 09:00:00,5,18.55
2022-09-03 10:00:00,5,18.74
2022-09-03 11:00:00,5,18.96
2022-09-03 12:00:00,5,19.23
2022-09-03 13:00:00,5,19.41
2022-09-03 14:00:00,5,19.53
2022-09-03 15:00:00,5,19.56
2022-09-03 16:00:00,5,19.51
2022-09-03 17:00:00,5,19.5
2022-09-03 18:00:00,5,19.51
2022-09-03 19:00:00,5,19.46
2022-09-03 20:00:00,5,19.4
2022-09-03 21:00:00,5,19.31
2022-09-03 22:00:00,5,19.2
2022-09-04 05:00:00,5,18.6
2022-09-04 06:00:00,5,18.53
2022-09-04 07:00:00,5,18.43
2022-09-04 08:00:00,5,18.3
2022-09-04 09:00:00,5,18.16
2022-09-04 10:00:00,5,18.19
2022-09-04 11:00:00,5,18.27
2022-09-04 12:00:00,5,18.35
2022-09-04 13:00:00,5,18.66
2022-09-04 14:00:00,5,18.86
2022-09-04 15:00:00,5,18.9
2022-09-04 16:00:00,5,18.93
2022-09-04 17:00:00,5,18.88
2022-09-04 18:00:00,5,18.8
2022-09-04 19:00:00,5,18.68
2022-09-04 20:00:00,5,18.56
2022-09-04 21:00:00,5,18.47
2022-09-04 22:00:00,5,18.36
2022-09-05 00:00:00,5,18.17
